Station,FullName,Count,UnitedRussia,Party
39,Лябихов Роман Михайлович,3719,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
39,Московченко Николай Михайлович,4283,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
39,Ноздрин Александр Дмитриевич,1536,0,Московское городское отделение политической партии Либерально-демократическая партия России
39,Палеев Антон Рафаэльевич,14368,1,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
39,Сиднев Виктор Владимирович,10107,0,Региональное отделение в городе Москве Политической партии Гражданская Платформа
39,Сысоев Дмитрий Ростиславович,1259,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
40,Милявский Александр Борисович,17609,1,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
40,Павленков Юрий Викторович,2495,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
40,Радаева Ольга Вячеславовна,4191,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
40,Раменский Павел Олегович,3255,0,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
40,Святошенко Владимир Алексеевич,5572,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
41,Александрова Мария Александровна,5947,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
41,Захаркин Руслан Игоревич,2164,0,Московское городское отделение политической партии Либерально-демократическая партия России
41,Казенков Олег Юрьевич,3380,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
41,Лемперт Петр Иванович,3220,0,Региональное отделение в городе Москве Политической партии Гражданская Платформа
41,Поселёнов Павел Александрович,12192,1,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
41,Тупикин Дмитрий Васильевич,2236,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
42,Батышева Татьяна Тимофеевна,14314,1,Самовыдвижение
42,Логинов Алексей Михайлович,1439,0,Московское городское отделение политической партии Либерально-демократическая партия России
42,Меньшиков Михаил Васильевич,4911,1,Самовыдвижение
42,Новиков Юрий Михайлович,6884,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
42,Чуев Александр Викторович,2989,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
43,Денисенко Татьяна Ивановна,6624,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
43,Иваненко Сергей Викторович,3566,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
43,Иксанова Арина Тахировна,1962,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
43,Кравченко Юрий Александрович,959,0,Московское городское отделение политической партии Либерально-демократическая партия России
43,Шастина Вера Ростиславовна,8942,1,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
43,Ярмольник Леонид Исаакович,8626,0,Региональное отделение в городе Москве Политической партии Гражданская Платформа
44,Гнездилов Александр Валентинович,4876,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
44,Пономарёв Константин Алексеевич,2036,0,Московское городское отделение политической партии Либерально-демократическая партия России
44,Свиридов Илья Тимурович,10494,1,Самовыдвижение
44,Шувалова Елена Анатольевна,11845,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
45,Бабич Барбара Адамовна,702,0,Самовыдвижение
45,Кавказский Николай Юрьевич,4010,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
45,Комендантов Антон Андреевич,783,0,Самовыдвижение
45,Кузьминов Ярослав Иванович,12860,0,Самовыдвижение
45,Симонян Кристина Владиславовна,3527,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
45,Умников Антон Геннадьевич,1234,0,Московское городское отделение политической партии Либерально-демократическая партия России
45,Фомичева Елена Алексеевна,7347,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
